Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm),Snow on Grnd (cm)
-79.4,43.67,TORONTO CITY,6158355,2023-02-28,2023,2,28,2.6,-0.1,1.3,2.8,10
-79.4,43.67,TORONTO CITY,6158355,2023-03-01,2023,3,1,3.2,-0.1,1.6,0,8
-79.4,43.67,TORONTO CITY,6158355,2023-03-02,2023,3,2,4.9,-0.5,2.2,0,8
-79.4,43.67,TORONTO CITY,6158355,2023-03-03,2023,3,3,1.1,-1.6,-0.3,21.7,6
-79.4,43.67,TORONTO CITY,6158355,2023-03-04,2023,3,4,5.8,-0.9,2.5,11.1,21
-79.4,43.67,TORONTO CITY,6158355,2023-03-05,2023,3,5,6.8,-0.1,3.3,0.4,15
-79.4,43.67,TORONTO CITY,6158355,2023-03-06,2023,3,6,3.4,-0.8,1.3,0,12
-79.4,43.67,TORONTO CITY,6158355,2023-03-07,2023,3,7,1.9,-1.9,0,0,11
-79.4,43.67,TORONTO CITY,6158355,2023-03-08,2023,3,8,3,-2.3,0.3,0,10
-79.4,43.67,TORONTO CITY,6158355,2023-03-09,2023,3,9,4.6,-2.5,1.1,0,9
-79.4,43.67,TORONTO CITY,6158355,2023-03-10,2023,3,10,0.7,-2.3,-0.8,9,8
-79.4,43.67,TORONTO CITY,6158355,2023-03-11,2023,3,11,0.6,-3.5,-1.5,0.3,17
-79.4,43.67,TORONTO CITY,6158355,2023-03-12,2023,3,12,0.7,-3.4,-1.3,2.5,14
-79.4,43.67,TORONTO CITY,6158355,2023-03-13,2023,3,13,2,-2.3,-0.1,0.5,18
-79.4,43.67,TORONTO CITY,6158355,2023-03-14,2023,3,14,-1.3,-4.5,-2.9,0,14
-79.4,43.67,TORONTO CITY,6158355,2023-03-15,2023,3,15,6,-4.6,0.7,0,13
-79.4,43.67,TORONTO CITY,6158355,2023-03-16,2023,3,16,10,1.2,5.6,1.8,9
-79.4,43.67,TORONTO CITY,6158355,2023-03-17,2023,3,17,7.6,1.2,4.4,6.5,5
-79.4,43.67,TORONTO CITY,6158355,2023-03-18,2023,3,18,2.2,-5.9,-1.9,0.4,1
-79.4,43.67,TORONTO CITY,6158355,2023-03-19,2023,3,19,1.2,-6.7,-2.8,0,0
-79.4,43.67,TORONTO CITY,6158355,2023-03-20,2023,3,20,7.2,-1.5,2.9,0,
-79.4,43.67,TORONTO CITY,6158355,2023-03-21,2023,3,21,9.8,4.2,7,0,
-79.4,43.67,TORONTO CITY,6158355,2023-03-22,2023,3,22,7.9,1.8,4.8,0,
-79.4,43.67,TORONTO CITY,6158355,2023-03-23,2023,3,23,8.9,0.3,4.6,9.5,
-79.4,43.67,TORONTO CITY,6158355,2023-03-24,2023,3,24,5.9,0.1,3,0,
-79.4,43.67,TORONTO CITY,6158355,2023-03-25,2023,3,25,9.6,1.8,5.7,23.8,
-79.4,43.67,TORONTO CITY,6158355,2023-03-26,2023,3,26,10.8,2.8,6.8,0,
-79.4,43.67,TORONTO CITY,6158355,2023-03-27,2023,3,27,6.4,2.8,4.6,1,
-79.4,43.67,TORONTO CITY,6158355,2023-03-28,2023,3,28,7.2,2.1,4.7,0,0
-79.4,43.67,TORONTO CITY,6158355,2023-03-29,2023,3,29,9.6,-3.5,3,2.1,0
-79.4,43.67,TORONTO CITY,6158355,2023-03-30,2023,3,30,3.4,-4.2,-0.4,0,
-79.4,43.67,TORONTO CITY,6158355,2023-03-31,2023,3,31,4.8,1.2,3,10,
-79.4,43.67,TORONTO CITY,6158355,2023-04-01,2023,4,1,16.1,-1.3,7.4,16.9,
-79.4,43.67,TORONTO CITY,6158355,2023-04-02,2023,4,2,2.9,-3.7,-0.4,0,
-79.4,43.67,TORONTO CITY,6158355,2023-04-03,2023,4,3,14.1,2.3,8.2,0,
-79.4,43.67,TORONTO CITY,6158355,2023-04-04,2023,4,4,10.3,5.6,7.9,1.5,
-79.4,43.67,TORONTO CITY,6158355,2023-04-05,2023,4,5,12.1,3.1,7.6,26,
-79.4,43.67,TORONTO CITY,6158355,2023-04-06,2023,4,6,12.9,5.8,9.3,0,
-79.4,43.67,TORONTO CITY,6158355,2023-04-07,2023,4,7,7.7,-0.6,3.5,0,
